Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
,Communes de France - Base des codes postaux,https://www.data.gouv.fr/fr/datasets/communes-de-france-base-des-codes-postaux/#/community-reuses,,,,,Yes,,Yes
,Historique des parcelles cadastrales (filiation),https://www.data.gouv.fr/fr/datasets/historique-des-parcelles-cadastrales-filiation/,,,,,Yes,,Yes
,Audience de la télévision,http://www.data.gouv.fr/fr/datasets/audience-de-la-television/,,,,,Yes,,Yes
,Répertoire des logements locatifs des bailleurs sociaux,https://www.data.gouv.fr/fr/datasets/repertoire-des-logements-locatifs-des-bailleurs-sociaux/#/community-reuses,,,,,Yes,,Yes
,Communes en Zone de Revitalisation Rurale (ZRR) en Corrèze,http://www.data.gouv.fr/fr/datasets/communes-en-zone-de-revitalisation-rurale-zrr-en-correze/,,,,,Yes,,No
"Carte interactive des communes du programme ""Action coeur de ville "" (ACV)",Programme Action coeur de ville,https://www.data.gouv.fr/fr/datasets/programme-action-coeur-de-ville/#/community-reuses,Politique et vie publique,Visualisation,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/carte-interactive-des-communes-du-programme-action-coeur-de-ville-acv/,No,,Yes
Évolution des prix de différentes énergies en France,Historique des tarifs réglementés de vente d’électricité pour les consommateurs résidentiels,https://www.data.gouv.fr/fr/datasets/historique-des-tarifs-reglementes-de-vente-delectricite-pour-les-consommateurs-residentiels/,Environnement et énergie,Visualisation,Olivier Ricou,https://www.data.gouv.fr/fr/reuses/evolution-des-prix-de-differentes-energies-en-france/,No,,Yes
Covid-19 : le tableau de bord de l’épidémie,"Données relatives aux personnes vaccinées contre la Covid-19, OLD Données relatives aux résultats des tests virologiques COVID-19",https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/,Santé,Visualisation,Le Monde,https://www.data.gouv.fr/fr/reuses/covid-19-le-tableau-de-bord-de-lepidemie/,No,,Yes
Délinquance enregistrée au niveau départemental et communal,Bases statistiques communale et départementale de la délinquance enregistrée par la police et la gendarmerie nationales,https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/#/community-reuses,Sécurité,Visualisation,Ministère de l’intérieur et des outre mer,https://www.data.gouv.fr/fr/reuses/delinquance-enregistree-au-niveau-departemental-et-communal/,No,,Yes
Cartographie des indicateurs sur les crimes et délits,Bases statistiques communale et départementale de la délinquance enregistrée par la police et la gendarmerie nationales,https://www.data.gouv.fr/fr/datasets/bases-statistiques-communale-et-departementale-de-la-delinquance-enregistree-par-la-police-et-la-gendarmerie-nationales/#/community-reuses,Sécurité,Visualisation,INSEE,https://www.data.gouv.fr/fr/reuses/cartographie-des-indicateurs-sur-les-crimes-et-delits/,No,,No
,Impôts locaux,https://www.data.gouv.fr/fr/datasets/impots-locaux/#/community-reuses,,,,,Yes,,Yes
,Fichier FANTOIR des voies et lieux dits,https://www.data.gouv.fr/fr/datasets/fichier-fantoir-des-voies-et-lieux-dits/?reuses_page=2#community-reuses,,,,,No,,Yes
